original_class,level1_group,level2_brand,level3_size,level4_model
더_뉴_코란도_스포츠_2016_2018,기타,쌍용,중형,더_뉴_코란도_스포츠_2016_2018
토레스_2023_2025,기타,쌍용,중형,토레스_2023_2025
뉴_체어맨_W_2012_2016,기타,쌍용,대형,뉴_체어맨_W_2012_2016
G4_렉스턴_2018_2020,기타,쌍용,대형,G4_렉스턴_2018_2020
올_뉴_렉스턴_2021_2025,기타,쌍용,대형,올_뉴_렉스턴_2021_2025
렉스턴_스포츠_2018_2021,기타,쌍용,대형,렉스턴_스포츠_2018_2021
렉스턴_스포츠_칸_2019_2020,기타,쌍용,대형,렉스턴_스포츠_칸_2019_2020
더_뉴_렉스턴_스포츠_2021_2025,기타,쌍용,대형,더_뉴_렉스턴_스포츠_2021_2025
더_뉴_렉스턴_스포츠_칸_2021_2025,기타,쌍용,대형,더_뉴_렉스턴_스포츠_칸_2021_2025
액티언_2세대_2025,기타,쌍용,대형,액티언_2세대_2025
스파크_2012_2015,미국,쉐보레,경차,스파크_2012_2015
더_넥스트_스파크_2016_2018,미국,쉐보레,경차,더_넥스트_스파크_2016_2018
더_뉴_스파크_2019_2022,미국,쉐보레,경차,더_뉴_스파크_2019_2022
아베오_2012_2016,미국,쉐보레,소형,아베오_2012_2016
트랙스_2013_2016,미국,쉐보레,소형,트랙스_2013_2016
더_뉴_트랙스_2017_2022,미국,쉐보레,소형,더_뉴_트랙스_2017_2022
트레일블레이저_2021_2022,미국,쉐보레,소형,트레일블레이저_2021_2022
트레일블레이저_2023,미국,쉐보레,소형,트레일블레이저_2023
트랙스_크로스오버_2024_2025,미국,쉐보레,소형,트랙스_크로스오버_2024_2025
말리부_2012_2016,미국,쉐보레,중형,말리부_2012_2016
올_뉴_말리부_2017_2018,미국,쉐보레,중형,올_뉴_말리부_2017_2018
더_뉴_말리부_2019_2022,미국,쉐보레,중형,더_뉴_말리부_2019_2022
올_뉴_카마로_2017_2018,미국,쉐보레,중형,올_뉴_카마로_2017_2018
올란도_2012_2018,미국,쉐보레,대형,올란도_2012_2018
임팔라_2016_2019,미국,쉐보레,대형,임팔라_2016_2019
콜로라도_2020_2020,미국,쉐보레,대형,콜로라도_2020_2020
리얼_뉴_콜로라도_2021_2022,미국,쉐보레,대형,리얼_뉴_콜로라도_2021_2022
트래버스_2020_2023,미국,쉐보레,대형,트래버스_2020_2023
레인지로버_이보크_2016_2019,유럽 프리미엄,렌드로버,소형,레인지로버_이보크_2016_2019
레인지로버_이보크_2세대_2020_2022,유럽 프리미엄,렌드로버,소형,레인지로버_이보크_2세대_2020_2022
레인지로버_이보크_2세대_2023_2024,유럽 프리미엄,렌드로버,소형,레인지로버_이보크_2세대_2023_2024
디스커버리_스포츠_2015_2019,유럽 프리미엄,렌드로버,소형,디스커버리_스포츠_2015_2019
디스커버리_스포츠_2세대_2020_2025,유럽 프리미엄,렌드로버,소형,디스커버리_스포츠_2세대_2020_2025
레인지로버_벨라_2018_2019,유럽 프리미엄,렌드로버,중형,레인지로버_벨라_2018_2019
디펜더_L663_2020_2025,유럽 프리미엄,렌드로버,대형,디펜더_L663_2020_2025
레인지로버_4세대_2014_2017,유럽 프리미엄,렌드로버,대형,레인지로버_4세대_2014_2017
레인지로버_4세대_2018_2022,유럽 프리미엄,렌드로버,대형,레인지로버_4세대_2018_2022
레인지로버_5세대_2023_2024,유럽 프리미엄,렌드로버,대형,레인지로버_5세대_2023_2024
레인지로버_스포츠_2세대_2013_2017,유럽 프리미엄,렌드로버,대형,레인지로버_스포츠_2세대_2013_2017
레인지로버_스포츠_2세대_2018_2022,유럽 프리미엄,렌드로버,대형,레인지로버_스포츠_2세대_2018_2022
디스커버리_4_2010_2016,유럽 프리미엄,렌드로버,대형,디스커버리_4_2010_2016
디스커버리_5_2017_2020,유럽 프리미엄,렌드로버,대형,디스커버리_5_2017_2020
디스커버리_5_2022_2024,유럽 프리미엄,렌드로버,대형,디스커버리_5_2022_2024
모델_3_2019_2022,미국,테슬라,중형,모델_3_2019_2022
모델_3_2024_2025,미국,테슬라,중형,모델_3_2024_2025
모델_Y_2021_2025,미국,테슬라,중형,모델_Y_2021_2025
알티마_2017_2018,일본/프랑스,닛산,중형,알티마_2017_2018
어코드_10세대_2018_2022,일본/프랑스,혼다,중형,어코드_10세대_2018_2022
파일럿_3세대_2016_2018,일본/프랑스,혼다,대형,파일럿_3세대_2016_2018
컨티넨탈_GT_2세대_2012_2017,유럽 프리미엄,벤틀리,대형,컨티넨탈_GT_2세대_2012_2017
컨티넨탈_GT_3세대_2018_2023,유럽 프리미엄,벤틀리,대형,컨티넨탈_GT_3세대_2018_2023
쿠퍼_컨버터블_2016_2024,기타 독일차,미니쿠페,소형,쿠퍼_컨버터블_2016_2024
쿠퍼_컨트리맨_2012_2015,기타 독일차,미니쿠페,소형,쿠퍼_컨트리맨_2012_2015
쿠퍼_컨트리맨_2016_2024,기타 독일차,미니쿠페,소형,쿠퍼_컨트리맨_2016_2024
쿠퍼_클럽맨_2016_2024,기타 독일차,미니쿠페,소형,쿠퍼_클럽맨_2016_2024
