,Black,Blue,Gray,Green,Orange,Pink,Purple,Red,Silver,White,Yellow
뉴_스타일_코란도_C_2017_2019,60,0,5,0,0,0,0,0,7,1,0
트랙스_크로스오버_2024_2025,65,0,1,0,0,0,0,0,6,1,0
RAV4_2016_2018,60,0,2,0,0,0,0,0,8,2,0
그랜저_GN7_2023_2025,51,0,7,0,0,0,0,0,9,5,0
더_뉴_코란도_스포츠_2016_2018,45,1,11,0,0,0,0,1,10,4,0
아이오닉_하이브리드_2016_2019,41,0,3,0,0,0,0,13,10,5,0
더_뉴_K7_2013_2016,43,0,23,0,0,0,3,0,1,0,0
토레스_2023_2025,50,0,9,0,0,0,0,0,11,0,0
스타리아_2022_2025,48,0,4,0,5,0,1,0,6,1,1
티볼리_에어_2021_2022,42,0,13,0,0,0,0,0,7,4,0
마칸_2022_2024,31,1,3,0,0,0,0,2,20,8,0
트레일블레이저_2023,43,0,5,0,0,0,0,0,11,6,0
2시리즈_액티브_투어러_F45_2019_2021,44,0,5,0,0,0,0,0,9,6,0
디_올_뉴_스포티지_2022_2024,56,0,3,0,0,0,0,0,1,0,0
뉴_QM6_2021_2023,49,0,6,0,0,0,0,0,4,0,0
K5_3세대_하이브리드_2020_2022,55,0,0,0,0,0,0,0,2,0,0
