클래스명,총_이미지수,처리율(%),주요_색상,Gray_비율(%),Black_비율(%),White_비율(%),Silver_비율(%),Blue_비율(%),Red_비율(%),Purple_비율(%),Yellow_비율(%),Orange_비율(%),Green_비율(%),Pink_비율(%)
렉스턴_스포츠_칸_2019_2020,86,100.0,Black,7.0,81.4,,5.8,,4.7,1.2,,,,
르반떼_2017_2022,88,100.0,Black,5.7,78.4,,14.8,1.1,,,,,,
리얼_뉴_콜로라도_2021_2022,74,100.0,Black,1.4,89.2,1.4,5.4,,2.7,,,,,
마칸_2014_2018,86,100.0,Black,3.5,80.2,1.2,15.1,,,,,,,
마칸_2019_2021,80,100.0,Black,5.0,76.2,1.2,13.8,,3.8,,,,,
마칸_2022_2024,65,100.0,Black,4.6,47.7,12.3,30.8,1.5,3.1,,,,,
말리부_2012_2016,74,100.0,Black,8.1,63.5,,28.4,,,,,,,
머스탱_2015_2023,88,100.0,Black,2.3,79.5,2.3,3.4,2.3,5.7,1.1,2.3,1.1,,
모닝_어반_JA_2021_2023,88,100.0,Black,10.2,50.0,8.0,29.5,,,1.1,,1.1,,
모델_3_2019_2022,88,100.0,Black,25.0,50.0,6.8,17.0,,1.1,,,,,
모델_3_2024_2025,88,100.0,Black,12.5,43.2,9.1,30.7,,4.5,,,,,
모델_Y_2021_2025,88,100.0,Black,5.7,48.9,21.6,20.5,,3.4,,,,,
모하비_더_마스터_2020_2024,85,100.0,Black,,95.3,1.2,2.4,,,,,1.2,,
몬데오_4세대_2015_2020,87,100.0,Black,12.6,54.0,4.6,27.6,1.1,,,,,,
박스터_718_2017_2024,84,100.0,Black,19.0,45.2,2.4,9.5,2.4,11.9,2.4,2.4,2.4,1.2,1.2
베뉴_2020_2024,78,100.0,Black,9.0,73.1,3.8,7.7,,6.4,,,,,
베리_뉴_티볼리_2020_2023,81,100.0,Black,11.1,69.1,1.2,16.0,,1.2,1.2,,,,
벨로스터_JS_2018_2020,77,100.0,Red,7.8,22.1,10.4,5.2,,45.5,1.3,3.9,3.9,,
뷰티풀_코란도_2019_2024,88,100.0,Black,4.5,77.3,3.4,13.6,,1.1,,,,,
셀토스_2020_2023,84,100.0,Black,3.6,83.3,2.4,9.5,,,1.2,,,,
스타리아_2022_2025,66,100.0,Black,6.1,72.7,1.5,9.1,,,1.5,1.5,7.6,,
스토닉_2018_2020,75,100.0,Black,6.7,64.0,4.0,16.0,,6.7,,2.7,,,
스팅어_2018_2020,88,100.0,Black,1.1,75.0,3.4,10.2,,9.1,1.1,,,,
스팅어_마이스터_2021_2023,88,100.0,Black,4.5,88.6,3.4,,,3.4,,,,,
스파크_2012_2015,74,100.0,Black,10.8,52.7,2.7,12.2,1.4,14.9,5.4,,,,
스포티지_4세대_2016_2018,84,100.0,Black,9.5,66.7,8.3,14.3,,,,,,,1.2
스포티지_5세대_2022_2024,84,100.0,Black,1.2,83.3,7.1,8.3,,,,,,,
스포티지_더_볼드_2019_2022,78,100.0,Black,3.8,78.2,9.0,9.0,,,,,,,
시에나_4세대_2021_2024,88,100.0,Black,4.5,62.5,3.4,29.5,,,,,,,
싼타페_MX5_2024_2025,88,100.0,Black,3.4,58.0,10.2,26.1,,,2.3,,,,
싼타페_TM_2019_2020,83,100.0,Black,3.6,84.3,8.4,3.6,,,,,,,
싼타페_더_프라임_2016_2018,88,100.0,Black,6.8,73.9,6.8,12.5,,,,,,,
쏘나타_DN8_2020_2023,84,100.0,Black,3.6,77.4,8.3,8.3,,1.2,,,1.2,,
쏘나타_뉴_라이즈_2018_2019,81,100.0,Black,7.4,76.5,7.4,7.4,,1.2,,,,,
쏘나타_디_엣지_DN8_2024_2025,87,100.0,Black,3.4,77.0,5.7,12.6,,,1.1,,,,
쏘렌토_4세대_2021_2023,85,100.0,Black,1.2,84.7,5.9,7.1,,,1.2,,,,
아반떼_AD_2016_2018,84,100.0,Black,16.7,41.7,7.1,34.5,,,,,,,
아반떼_CN7_2021_2023,84,100.0,Black,15.5,65.5,7.1,10.7,,,1.2,,,,
아반떼_MD_2011_2014,87,100.0,Black,20.7,35.6,13.8,27.6,,,,,2.3,,
아반떼_N_2022_2023,84,97.7,Black,13.1,73.8,2.4,1.2,1.2,,8.3,,,,
아반떼_하이브리드_CN7_2021_2023,88,100.0,Black,10.2,76.1,2.3,10.2,,,1.1,,,,
아베오_2012_2016,87,100.0,Black,29.9,39.1,1.1,18.4,,5.7,4.6,,1.1,,
아슬란_2015_2018,87,100.0,Black,12.6,78.2,3.4,4.6,,,1.1,,,,
아이오닉5_2022_2023,88,100.0,Black,18.2,69.3,2.3,10.2,,,,,,,
아이오닉6_2023_2025,86,100.0,Black,5.8,69.8,14.0,10.5,,,,,,,
아이오닉_하이브리드_2016_2019,72,100.0,Black,4.2,56.9,6.9,13.9,,18.1,,,,,
아테온_2018_2023,87,100.0,Black,11.5,54.0,10.3,23.0,1.1,,,,,,
알티마_2017_2018,88,100.0,Black,10.2,62.5,5.7,19.3,,,2.3,,,,
액티언_2세대_2025,84,100.0,Black,,59.5,3.6,31.0,,,,,6.0,,
어코드_10세대_2018_2022,85,100.0,Black,12.9,78.8,3.5,4.7,,,,,,,
에비에이터_2세대_2020_2025,85,100.0,Black,9.4,78.8,,10.6,,1.2,,,,,
에스컬레이드_2015_2020,85,100.0,Black,7.1,87.1,,5.9,,,,,,,
에스컬레이드_5세대_2021_2024,84,100.0,Black,4.8,79.8,4.8,9.5,,,1.2,,,,
에쿠스_신형_2010_2015,86,100.0,Black,17.4,77.9,,3.5,,,1.2,,,,
엑센트_신형_2011_2019,88,100.0,Black,29.5,39.8,9.1,17.0,,4.5,,,,,
올_뉴_K3_2019_2021,81,100.0,Black,3.7,75.3,4.9,13.6,,2.5,,,,,
올_뉴_K7_2016_2019,86,100.0,Black,1.2,81.4,2.3,14.0,,,1.2,,,,
올_뉴_K7_하이브리드_2017_2019,88,100.0,Black,1.1,92.0,1.1,5.7,,,,,,,
올_뉴_렉스턴_2021_2025,79,100.0,Black,2.5,91.1,1.3,5.1,,,,,,,
올_뉴_말리부_2017_2018,88,100.0,Black,11.4,75.0,4.5,9.1,,,,,,,
올_뉴_모닝_2012_2015,84,100.0,Black,21.4,48.8,8.3,15.5,,3.6,1.2,1.2,,,
올_뉴_모닝_JA_2017_2020,88,100.0,Black,11.4,47.7,1.1,35.2,,2.3,1.1,,,,1.1
올_뉴_쏘렌토_2015_2017,77,100.0,Black,6.5,80.5,6.5,5.2,1.3,,,,,,
올_뉴_카니발_2015_2019,84,100.0,Black,8.3,72.6,1.2,17.9,,,,,,,
올_뉴_카마로_2017_2018,82,100.0,Black,3.7,54.9,,,,19.5,,22.0,,,
올_뉴_투싼_TL_2016_2018,87,100.0,Black,8.0,70.1,11.5,10.3,,,,,,,
올_뉴_투싼_TL_2019_2020,81,100.0,Black,8.6,63.0,9.9,18.5,,,,,,,
올란도_2012_2018,85,100.0,Black,10.6,64.7,3.5,21.2,,,,,,,
익스플로러_2016_2017,88,100.0,Black,2.3,78.4,10.2,9.1,,,,,,,
익스플로러_2018_2019,84,100.0,Black,8.3,75.0,8.3,8.3,,,,,,,
익스플로러_6세대_2020_2025,85,100.0,Black,1.2,81.2,4.7,12.9,,,,,,,
일렉트리파이드_GV70_2022_2024,88,100.0,Black,3.4,80.7,10.2,5.7,,,,,,,
임팔라_2016_2019,80,100.0,Black,21.2,71.2,2.5,5.0,,,,,,,
제네시스_DH_2014_2016,84,100.0,Black,9.5,83.3,1.2,6.0,,,,,,,
체로키_KL_2019_2023,88,100.0,Black,,90.9,2.3,4.5,,1.1,1.1,,,,
카니발_4세대_2021,84,100.0,Black,,82.1,8.3,9.5,,,,,,,
카니발_4세대_2022_2023,82,100.0,Black,2.4,80.5,11.0,6.1,,,,,,,
카이엔_PO536_2019_2023,84,100.0,Black,7.1,70.2,6.0,16.7,,,,,,,
캐스퍼_2022_2024,87,100.0,Black,21.8,51.7,5.7,17.2,,2.3,,1.1,,,
캠리_XV70_2018_2024,87,100.0,Black,5.7,56.3,8.0,29.9,,,,,,,
컨티넨탈_10세대_2017_2019,84,100.0,Black,8.3,90.5,1.2,,,,,,,,
컨티넨탈_GT_2세대_2012_2017,79,100.0,Black,8.9,68.4,3.8,17.7,1.3,,,,,,
컨티넨탈_GT_3세대_2018_2023,84,100.0,Black,7.1,81.0,1.2,9.5,,,1.2,,,,
컴패스_2세대_2018_2022,83,100.0,Black,2.4,86.7,1.2,3.6,2.4,3.6,,,,,
코나_2018_2020,78,100.0,Black,2.6,78.2,7.7,7.7,1.3,,2.6,,,,
코나_SX2_2023_2025,83,100.0,Black,10.8,63.9,9.6,14.5,1.2,,,,,,
코세어_2020_2022,85,100.0,Black,17.6,61.2,1.2,20.0,,,,,,,
콜로라도_2020_2020,85,100.0,Black,3.5,82.4,,10.6,,,3.5,,,,
콰트로포르테_2014_2016,88,100.0,Black,14.8,56.8,11.4,15.9,,,1.1,,,,
콰트로포르테_2017_2022,77,100.0,Black,2.6,77.9,1.3,13.0,,,5.2,,,,
쿠퍼_컨버터블_2016_2024,84,100.0,Black,8.3,69.0,1.2,9.5,6.0,2.4,1.2,2.4,,,
쿠퍼_컨트리맨_2012_2015,88,100.0,Black,9.1,52.3,2.3,21.6,1.1,10.2,1.1,,2.3,,
쿠퍼_컨트리맨_2016_2024,87,100.0,Black,8.0,74.7,,10.3,1.1,1.1,4.6,,,,
쿠퍼_클럽맨_2016_2024,88,100.0,Black,9.1,78.4,,8.0,,3.4,1.1,,,,
타이칸_2021_2025,86,100.0,Black,11.6,39.5,10.5,24.4,1.2,4.7,8.1,,,,
토레스_2023_2025,70,100.0,Black,12.9,71.4,,15.7,,,,,,,
투싼_NX4_2021_2023,83,100.0,Black,,83.1,9.6,7.2,,,,,,,
투아렉_3세대_2020_2023,79,100.0,Black,3.8,78.5,5.1,12.7,,,,,,,
트래버스_2020_2023,81,100.0,Black,1.2,82.7,2.5,7.4,,6.2,,,,,
트랙스_2013_2016,80,100.0,Black,2.5,85.0,,7.5,,3.8,,,,,1.2
트랙스_크로스오버_2024_2025,73,100.0,Black,1.4,89.0,1.4,8.2,,,,,,,
트레일블레이저_2021_2022,79,100.0,Black,1.3,79.7,2.5,8.9,6.3,1.3,,,,,
트레일블레이저_2023,65,100.0,Black,7.7,66.2,9.2,16.9,,,,,,,
티구안_올스페이스_2018_2023,88,100.0,Black,9.1,64.8,6.8,19.3,,,,,,,
티볼리_2015_2018,80,100.0,Black,7.5,73.8,1.2,15.0,,2.5,,,,,
티볼리_아머_2018_2019,86,100.0,Black,4.7,69.8,,18.6,,5.8,1.2,,,,
티볼리_에어_2016_2019,88,100.0,Black,9.1,61.4,4.5,22.7,,1.1,1.1,,,,
티볼리_에어_2021_2022,66,100.0,Black,19.7,63.6,6.1,10.6,,,,,,,
파나메라_2010_2016,86,100.0,Black,3.5,76.7,7.0,11.6,,,1.2,,,,
파나메라_971_2017_2023,87,100.0,Black,4.6,75.9,4.6,10.3,1.1,1.1,2.3,,,,
파사트_GT_B8_2018_2022,88,100.0,Black,9.1,50.0,14.8,26.1,,,,,,,
파일럿_3세대_2016_2018,88,100.0,Black,5.7,86.4,1.1,6.8,,,,,,,
팰리세이드_2019_2022,83,100.0,Black,1.2,85.5,6.0,7.2,,,,,,,
팰리세이드_LX3_2025,75,100.0,Black,,77.3,16.0,6.7,,,,,,,
프리우스_4세대_2016_2018,80,100.0,Black,5.0,58.8,13.8,22.5,,,,,,,
프리우스_4세대_2019_2022,90,100.0,Black,10.0,78.9,,6.7,1.1,2.2,1.1,,,,
프리우스_C_2018_2020,86,100.0,Black,7.0,52.3,1.2,10.5,10.5,,,5.8,12.8,,
